ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785861938.721,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.96,0
1785861938.721,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.57,0
1785861938.721,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.54,0
1785861938.721,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.47,0
1785861938.721,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.59,0
1785861938.721,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.58,0
1785861939.722,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861939.722,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861939.722,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861939.722,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861939.722,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861939.722,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861940.722,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861940.722,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861940.722,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861940.722,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861940.722,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861940.722,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861941.722,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861941.722,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861941.722,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861941.722,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861941.722,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861941.722,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861942.722,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861942.722,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861942.722,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861942.722,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785861942.722,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785861942.722,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785861943.722,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
