ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785864470.372,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,3.1,0
1785864470.372,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.58,0
1785864470.372,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.55,0
1785864470.372,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.58,0
1785864470.372,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.55,0
1785864470.372,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.57,0
1785864471.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864471.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864471.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864471.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864471.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864471.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864472.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864472.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864472.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864472.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864472.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864472.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864473.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864473.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864473.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864473.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864473.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864473.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864474.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864474.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864474.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864474.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864474.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864474.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864475.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864475.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864475.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864475.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864475.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864475.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864476.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864476.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864476.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864476.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864476.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864476.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864477.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864477.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864477.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864477.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864477.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864477.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864478.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864478.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864478.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864478.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864478.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864478.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864479.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864479.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864479.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864479.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864479.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864479.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864480.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864480.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864480.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864480.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864480.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864480.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864481.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864481.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864481.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864481.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864481.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864481.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864482.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864482.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864482.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864482.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864482.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864482.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864483.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864483.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864483.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864483.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864483.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864483.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864484.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864484.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864484.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864484.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864484.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864484.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864485.373,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864485.373,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864485.373,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785864485.373,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785864485.373,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785864485.373,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
