ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785900206.602,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.85,0
1785900206.602,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.58,0
1785900206.602,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.62,0
1785900206.602,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.62,0
1785900206.602,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.58,0
1785900206.602,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.56,0
1785900207.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900207.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900207.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900207.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900207.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900207.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900208.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900208.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900208.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900208.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900208.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900208.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900209.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900209.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900209.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900209.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900209.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900209.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900210.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900210.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900210.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900210.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900210.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900210.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900211.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900211.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900211.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900211.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900211.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900211.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900212.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900212.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900212.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900212.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900212.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900212.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900213.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900213.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900213.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900213.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900213.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900213.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900214.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900214.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900214.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900214.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900214.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900214.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900215.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900215.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900215.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900215.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900215.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900215.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900216.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900216.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900216.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900216.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900216.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900216.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900217.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900217.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900217.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900217.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900217.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900217.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900218.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900218.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900218.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900218.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900218.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900218.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900219.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900219.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900219.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900219.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900219.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900219.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900220.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900220.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900220.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900220.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900220.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900220.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900221.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900221.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900221.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900221.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900221.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900221.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900222.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900222.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900222.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900222.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900222.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900222.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900223.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900223.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900223.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900223.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900223.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900223.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900224.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900224.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900224.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900224.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900224.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900224.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900225.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900225.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900225.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900225.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900225.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900225.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900226.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900226.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900226.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900226.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900226.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900226.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900227.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900227.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900227.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900227.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900227.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900227.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900228.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900228.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900228.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900228.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900228.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900228.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900229.603,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900229.603,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900229.603,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
1785900229.603,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0
1785900229.603,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0
1785900229.603,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0
